postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
3460,Birkerød,Hovedbiblioteket i Birkerød,Rudersdal Bibliotekerne,Stationsvej 38,55.840465,Folkebibliotek,723000,12.427654,Rudersdal Bibliotekerne,Hovedbiblioteket i Birkerød
2840,Holte,Holte Bibliotek,Rudersdal Bibliotekerne,"Holte Midtpunkt 23, 2. sal",55.811471,Folkebibliotek,723001,12.471455,Holte Bibliotek
2850,Nærum,Nærum Bibliotek,Rudersdal Bibliotekerne,Biblioteksalleen 3,55.816177,Folkebibliotek,723002,12.5397269,Nærum Bibliotek
2950,Vedbæk,Vedbæk Bibliotek,Rudersdal Bibliotekerne,Henriksholms Allé 2,55.852167,Folkebibliotek,723003,12.5598497,Vedbæk Bibliotekscenter
2765,Smørum,Smørum Bibliotek,Egedal Bibliotekerne,Flodvej 68 Smørumnedre,55.7315365,Folkebibliotek,724000,12.3083103,Smørum Bibliotek
3660,Stenløse,Ganløse Bibliotek,Egedal Bibliotekerne,"Toftekildegård Østergade 12, Ganløse",55.792549,Folkebibliotek,724001,12.266358,Ganløse Bibliotek
3660,Stenløse,Stenløse Bibliotek,Egedal Bibliotekerne,Rådhustorvet 2,55.768226,Folkebibliotek,724002,12.1965013,Biblioteket i Stenløse Kulturhus
3650,Ølstykke,Ølstykke Bibliotek,Egedal Bibliotekerne,Østervej 1 A Postbox 162,55.793643,Folkebibliotek,724003,12.147581,Ølstykke Bibliotek
3600,Frederikssund,Frederikssund Bibliotek,Frederikssund Bibliotekerne,Jernbanegade 24,55.8379723,Folkebibliotek,725000,12.0638525,Frederikssund Bibliotek
3630,Jægerspris,Jægerspris Bibliotek,Frederikssund Bibliotekerne,Møllevej 25,55.852574,Folkebibliotek,725001,11.985131,Jægerspris Bibliotek
3550,Slangerup,Slangerup Bibliotek,Frederikssund Bibliotekerne,Kongensgade 18 Postbox 206,55.845994,Folkebibliotek,725002,12.169767,Slangerup Bibliotek
4050,Skibby,Skibby Bibliotek,Frederikssund Bibliotekerne,Nyvej 7 c,55.7489736,Folkebibliotek,725003,11.9542105,Skibby Bibliotek
2670,Greve,Greve,Greve Bibliotek,Hovedbiblioteket Portalen,55.5983284,Folkebibliotek,725300,12.330856,Greve Bibliotek
2690,Karlslunde,Karlslunde Strand,Greve Bibliotek,Karlslunde Parkvej 11,55.5626436,Folkebibliotek,725302,12.2662491,Karlslunde Bibliotek
4030,Tune,Tune,Greve Bibliotek,Tune Center 15,55.596157,Folkebibliotek,725304,12.179258,Tune Bibliotek
4600,Køge,Køge bibliotek,KøgeBibliotekerne,Kirkestræde 18,55.4578346,Folkebibliotek,725900,12.1822443,Køge Bibliotek
4681,Herfølge,Herfølge Bibliotek,KøgeBibliotekerne,Billesborgvej 1 B,55.416913,Folkebibliotek,725902,12.142357,Herfølge Bibliotek
4140,Borup,Borup bibliotek,KøgeBibliotekerne,Parkvej 2,55.5002162,Folkebibliotek,725903,11.9804517,Borup Bibliotek
4623,Ll. Skensved,Ejby bibliotekspunkt,KøgeBibliotekerne,"Ejby Medborgerhus
Gemsevej 19",55.4878305,Folkebibliotek,725905,12.0803269,Ejby Bibliotekspunkt
3300,Frederiksværk,Frederiksværk Bibliotek,Halsnæs Kommune. Bibliotekerne,Torvet 41,55.971932,Folkebibliotek,726000,12.019282,Frederiksværk Hovedbibliotek
3390,Hundested,Hundested Bibliotek,Halsnæs Kommune. Bibliotekerne,Nørregade 61,55.959432,Folkebibliotek,726001,11.852819,Hundested Lokalbibliotek
4000,Roskilde,Roskilde Bibliotekerne,Roskilde Bibliotekerne,Dronning Margrethes Vej 14 Postbox 229,55.64191,Folkebibliotek,726500,12.087845,Roskilde Bibliotek
